n°UAI de l'établissement;Libellé de l'établissement;Région;Taux de poursuite d'études;Taux;Taux attendu;Valeur ajoutée;Part en poursuite d'études ;Part en emploi 6 mois après la sortie ;Part des autres situations 
0161077J;CFA de la Charente;NOUVELLE-AQUITAINE;35;70;60;10;35;45;20
0161212F;Ctr formation apprentis BTP CFA Charente;NOUVELLE-AQUITAINE;50;64;67;-3;50;32;18
0161223T;Organisme de formation-Centre de formation d'apprentis de AFTRAL Puymoyen;NOUVELLE-AQUITAINE;;;;;;;
0171183U;Site de formation d'apprentis du Centre de formation de Lagord;NOUVELLE-AQUITAINE;42;58;62;-3;42;34;24
0171208W;Centre de formation d'apprentis Commerce de Saintes;NOUVELLE-AQUITAINE;36;67;67;-1;36;42;22
0171209X;CFA BTP de la Charente-Maritime;NOUVELLE-AQUITAINE;45;62;67;-6;45;34;21
0171291L;Maison Familiale Rurale de Saint-Germain;NOUVELLE-AQUITAINE;;;;;;;
0171318R;Maison Familiale Rurale de Chevanceaux - forêts;NOUVELLE-AQUITAINE;;;;;;;
0171401F;CFA de la Charente Maritime;NOUVELLE-AQUITAINE;31;65;59;6;31;45;24
0171427J;EXCELIA GROUP;NOUVELLE-AQUITAINE;;;;;;;
0171438W;CFA CIPECMA;NOUVELLE-AQUITAINE;36;57;62;-5;36;37;27
0171463Y;La Rochelle Université;NOUVELLE-AQUITAINE;;;;;;;
0171501P;Institut supérieur de formation par alternance et continue;NOUVELLE-AQUITAINE;;;;;;;
0171503S;Centre de formation continue Alternance Sud Atlantique - Groupe Rochefort;NOUVELLE-AQUITAINE;45;;;;45;41;14
0171552V;Maison Familiale Rurale de la Saintonge et de l'Aunis - Saint-Genis-de-Saintonge;NOUVELLE-AQUITAINE;;;;;;;
0171591M;CFA de Surgères;NOUVELLE-AQUITAINE;33;77;70;7;33;51;16
0171610H;Centre de formation d'apprentis AFTRAL de Rochefort;NOUVELLE-AQUITAINE;0;87;75;12;0;87;13
0171644V;Organisme de formation centre de formation d'apprentis IRSS Sport Royan;NOUVELLE-AQUITAINE;;;;;;;
0171646X;Organisme de formation - Centre de formation d'apprentis de Formations Equines Rochefort Ocean de Rochefort;NOUVELLE-AQUITAINE;;;;;;;
0180755Y;Organisme de formation-Centre de formation d'apprentis de IFAB de Bourges;CENTRE-VAL DE LOIRE;40;58;61;-3;40;35;25
0180847Y;CFA du Cher;CENTRE-VAL DE LOIRE;31;62;65;-3;31;43;26
0190721F;CFA EIMCL 13 VENTS TULLE;NOUVELLE-AQUITAINE;42;60;63;-3;42;35;23
0190767F;CFA PREPARATEURS EN PHARMACIE BRIVE LA GAILLARDE;NOUVELLE-AQUITAINE;0;77;76;1;0;77;23
0190807Z;CENTRE DE FORMATION D'APPRENTIS INCLUSIF NOUVELLE AQUITAINRE;NOUVELLE-AQUITAINE;35;;;;35;25;40
0190832B;CFA de la Corrèze - Brive;NOUVELLE-AQUITAINE;37;63;59;4;37;39;24
0190847T;CFAI LIMOUSIN-SITE DE TULLE;NOUVELLE-AQUITAINE;33;81;74;7;33;55;12
0190849V;BTP CFA NOUVELLE AQUITAINE TULLE;NOUVELLE-AQUITAINE;50;68;71;-2;50;34;16
0195041B;CFA EFIATP EGLETONS;NOUVELLE-AQUITAINE;22;92;80;12;22;71;7
0195059W;ORGANISME DE FORMATION-CENTRE DE FORMATION D'APPRENTIS DE IFHCO USSEL;NOUVELLE-AQUITAINE;47;64;56;7;47;34;19
0195061Y;Organisme de formation-Centre de formation d'apprentis EFIA TP EGLETONS;NOUVELLE-AQUITAINE;20;96;84;12;20;77;3
0195062Z;Organisme de formation-Centre de formation d'apprentis de CFC TP EGLETONS;NOUVELLE-AQUITAINE;;;;;;;
0195066D;Organisme de formation-Centre de formation d'apprentis INISUP CCI CORREZE BRIVE LA GAILLARDE;NOUVELLE-AQUITAINE;;;;;;;
0211181V;CFA de la Pharmacie;BOURGOGNE-FRANCHE-COMTE;21;81;85;-3;21;64;15
0211431S;BATIMENT CFA BOURGOGNE-FRANCHE-COMTE SITE DE DIJON;BOURGOGNE-FRANCHE-COMTE;35;72;72;1;35;47;18
0211479U;ECOLE DES METIERS DIJON METROPOLE;BOURGOGNE-FRANCHE-COMTE;41;62;63;0;41;37;22
0211529Y;Maison Familiale Rurale de Baigneux-les-Juifs;BOURGOGNE-FRANCHE-COMTE;;;;;;;
0211530Z;Maison Familiale Rurale de Quetigny;BOURGOGNE-FRANCHE-COMTE;;;;;;;
0211531A;Maison Familiale Rurale de Liernais;BOURGOGNE-FRANCHE-COMTE;;;;;;;
0211575Y;Maison Familiale Rurale de Ruffey-lès-Beaune;BOURGOGNE-FRANCHE-COMTE;;;;;;;
0211579C;Maison Familiale Rurale de Semur-en-Auxois;BOURGOGNE-FRANCHE-COMTE;;;;;;;
0211799S;CFA Dijon Quétigny;BOURGOGNE-FRANCHE-COMTE;34;58;64;-6;34;38;28
0211800T;CFA Beaune;BOURGOGNE-FRANCHE-COMTE;23;66;64;3;23;51;26
0211948D;AFTRAL CFATL DIJON;BOURGOGNE-FRANCHE-COMTE;40;55;64;-9;40;33;27
0212000K;CFA des Compagnons du devoir;BOURGOGNE-FRANCHE-COMTE;52;69;69;1;52;33;15
0212052S;CFA SAINT BENIGNE;BOURGOGNE-FRANCHE-COMTE;41;71;70;1;41;42;17
0212057X;CFA des MFR de Bourgogne;BOURGOGNE-FRANCHE-COMTE;31;62;65;-3;31;43;26
0212096P;CFA DES TRAVAUX PUBLICS;BOURGOGNE-FRANCHE-COMTE;40;;;;40;;60
0212109D;CFA SAINT JOSEPH;BOURGOGNE-FRANCHE-COMTE;15;73;75;-3;15;62;23
0212114J;CFA LES ARCADES;BOURGOGNE-FRANCHE-COMTE;30;15;27;-12;30;11;59
0212115K;IFRIA Bourgogne;BOURGOGNE-FRANCHE-COMTE;60;57;69;-12;60;23;17
0212183J;FORMAPI;BOURGOGNE-FRANCHE-COMTE;39;;;;39;;61
0212193V;Centre de formation d'apprentis Polyvia Formation Dijon - Bourgogne Franche-Comté;BOURGOGNE-FRANCHE-COMTE;;;;;;;
0212196Y;ECOLE SUPERIEURE DE LA BANQUE;BOURGOGNE-FRANCHE-COMTE;;;;;;;
0212197Z;CFA SUP BOURGOGNE;BOURGOGNE-FRANCHE-COMTE;66;75;66;9;66;25;9
0212220Z;Cfa sanitaire social et médico-social de Bourgogne;BOURGOGNE-FRANCHE-COMTE;5;68;58;10;5;64;31
