"n°UAI de l'établissement";"Libellé de l'établissement";"Région";;;"Taux";"Taux attendu";"Valeur ajoutée";;;
"0741287X";"Lycée professionnel privé Les Bressis";"AUVERGNE-RHONE-ALPES";"ensemble";49;38;45;-7;41;52;50
"0741307U";"Lycée technologique privé Jeanne d'Arc";"AUVERGNE-RHONE-ALPES";"ensemble";18;38;50;-12;56;53;62
"0741418P";"Lycée général et technologique Charles Baudelaire";"AUVERGNE-RHONE-ALPES";"ensemble";29;67;64;3;68;65;70
"0741418P";"Lycée général et technologique Charles Baudelaire";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";31;67;61;6;63;63;70
"0741418P";"Lycée général et technologique Charles Baudelaire";"AUVERGNE-RHONE-ALPES";"dont apprentis";19;;;;;;
"0741469V";"Lycée polyvalent privé Demotz de La Salle";"AUVERGNE-RHONE-ALPES";"ensemble";46;62;52;10;69;62;59
"0741476C";"LYCEE POLYVALENT JEAN MONNET";"AUVERGNE-RHONE-ALPES";"ensemble";39;45;54;-9;45;41;41
"0741532N";"Lycée général et technologique de l'Albanais";"AUVERGNE-RHONE-ALPES";"ensemble";53;;;;;;
"0741532N";"Lycée général et technologique de l'Albanais";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";;;;;;;
"0741532N";"Lycée général et technologique de l'Albanais";"AUVERGNE-RHONE-ALPES";"dont apprentis";50;;;;;;
"0741669M";"Lycee polyvalent René Frison Roche";"AUVERGNE-RHONE-ALPES";"ensemble";43;36;47;-11;51;31;36
"0750330B";"Lycée technologique privé Ecole Technique Supérieure du Laboratoire";"ILE-DE-FRANCE";"ensemble";42;50;54;-4;51;50;51
"0750419Y";"Lycée professionnel Mécanique automobile Camille Jenatzy";"ILE-DE-FRANCE";"ensemble";48;30;42;-12;33;36;32
"0750428H";"Lycée polyvalent Jacques MONOD - Lycée des métiers des carrières sanitaires et sociales";"ILE-DE-FRANCE";"ensemble";57;40;28;12;45;47;42
"0750428H";"Lycée polyvalent Jacques MONOD - Lycée des métiers des carrières sanitaires et sociales";"ILE-DE-FRANCE";"dont élèves en voie pro sco";62;40;28;12;45;47;40
"0750428H";"Lycée polyvalent Jacques MONOD - Lycée des métiers des carrières sanitaires et sociales";"ILE-DE-FRANCE";"dont apprentis";21;43;32;11;47;50;50
"0750436S";"Lycée professionnel Claude Anthime Corbon - Lycée des métiers de la communication et de la gestion d'entreprise";"ILE-DE-FRANCE";"ensemble";56;35;31;4;37;50;40
"0750463W";"Lycée polyvalent Lucas de Nehou - Lycée des métiers des arts du verre et des structures verrières";"ILE-DE-FRANCE";"ensemble";46;56;51;4;64;63;61
"0750463W";"Lycée polyvalent Lucas de Nehou - Lycée des métiers des arts du verre et des structures verrières";"ILE-DE-FRANCE";"dont élèves en voie pro sco";49;49;44;5;56;61;56
"0750463W";"Lycée polyvalent Lucas de Nehou - Lycée des métiers des arts du verre et des structures verrières";"ILE-DE-FRANCE";"dont apprentis";40;66;62;3;76;66;69
"0750502N";"Lycée polyvalent Maximilien Vox-arts appliqués - design de communication - industries graphiques";"ILE-DE-FRANCE";"ensemble";68;32;34;-1;35;32;42
"0750508V";"Lycée professionnel Charles de Gaulle";"ILE-DE-FRANCE";"ensemble";40;36;38;-2;43;49;50
"0750508V";"Lycée professionnel Charles de Gaulle";"ILE-DE-FRANCE";"dont élèves en voie pro sco";62;25;30;-5;28;38;36
"0750508V";"Lycée professionnel Charles de Gaulle";"ILE-DE-FRANCE";"dont apprentis";4;43;43;0;52;57;59
"0750553U";"Lycée professionel Gaston Bachelard";"ILE-DE-FRANCE";"ensemble";75;38;36;3;36;46;44
"0750558Z";"Lycée polyvalent Paul Poiret";"ILE-DE-FRANCE";"ensemble";56;46;34;12;46;39;43
"0750588G";"Lycée professionnel René Cassin - Lycée des métiers de la communication de la gestion et du management d'entreprise";"ILE-DE-FRANCE";"ensemble";43;43;40;3;34;46;46
"0750588G";"Lycée professionnel René Cassin - Lycée des métiers de la communication de la gestion et du management d'entreprise";"ILE-DE-FRANCE";"dont élèves en voie pro sco";46;40;37;2;30;42;43
"0750588G";"Lycée professionnel René Cassin - Lycée des métiers de la communication de la gestion et du management d'entreprise";"ILE-DE-FRANCE";"dont apprentis";28;58;52;6;50;62;62
"0750612H";"Lycée technologique Ecole Nationale Supérieure des Arts Appliqués";"ILE-DE-FRANCE";"ensemble";75;24;36;-12;28;28;34
"0750647W";"Lycée général et technologique Turgot";"ILE-DE-FRANCE";"ensemble";47;68;56;12;62;55;57
"0750650Z";"Lycée polyvalent d'Alembert - Lycée des métiers de la mode";"ILE-DE-FRANCE";"ensemble";44;57;45;12;56;57;58
"0750651A";"Lycée polyvalent Simone Weil";"ILE-DE-FRANCE";"ensemble";40;63;57;6;57;61;52
"0750653C";"Lycée général et technologique Sophie Germain";"ILE-DE-FRANCE";"ensemble";41;53;56;-3;53;67;57
"0750664P";"Lycée général et technologique Racine";"ILE-DE-FRANCE";"ensemble";31;72;60;12;70;68;72
"0750671X";"Lycée polyvalent Edgar Quinet";"ILE-DE-FRANCE";"ensemble";39;53;48;5;46;51;56
"0750671X";"Lycée polyvalent Edgar Quinet";"ILE-DE-FRANCE";"dont élèves en voie pro sco";39;51;46;5;45;48;53
"0750671X";"Lycée polyvalent Edgar Quinet";"ILE-DE-FRANCE";"dont apprentis";30;;;;;;
"0750672Y";"Lycée technologique Duperré Ecole Supérieure des Arts Appliqués";"ILE-DE-FRANCE";"ensemble";82;17;29;-12;24;26;31
"0750674A";"Lycée technologique Jules Siegfried";"ILE-DE-FRANCE";"ensemble";42;64;58;6;63;67;63
"0750676C";"Lycée polyvalent Dorian - Lycée des métiers de la mécatronique, de la topographie et de la verrerie";"ILE-DE-FRANCE";"ensemble";43;47;47;-1;54;55;62
"0750677D";"Lycée polyvalent Elisa Lemonnier";"ILE-DE-FRANCE";"ensemble";40;52;49;3;53;56;57
"0750680G";"Lycée général et technologique Arago";"ILE-DE-FRANCE";"ensemble";25;65;57;8;58;55;60
"0750681H";"Lycée Polyvalent Boulle - Lycée des métiers d'art, d'architecture intérieure et du design";"ILE-DE-FRANCE";"ensemble";78;57;52;5;65;63;66
"0750681H";"Lycée Polyvalent Boulle - Lycée des métiers d'art, d'architecture intérieure et du design";"ILE-DE-FRANCE";"dont élèves en voie pro sco";78;58;53;5;64;62;66
"0750681H";"Lycée Polyvalent Boulle - Lycée des métiers d'art, d'architecture intérieure et du design";"ILE-DE-FRANCE";"dont apprentis";;;;;;;
"0750685M";"Lycée général et technologique Pierre-Gilles de Gennes";"ILE-DE-FRANCE";"ensemble";53;40;52;-12;43;51;49
"0750685M";"Lycée général et technologique Pierre-Gilles de Gennes";"ILE-DE-FRANCE";"dont élèves en voie pro sco";53;38;50;-12;42;48;46
"0750685M";"Lycée général et technologique Pierre-Gilles de Gennes";"ILE-DE-FRANCE";"dont apprentis";48;55;67;-12;59;73;82
"0750686N";"Ecole Estienne Ecole supérieure des Arts et Industries Graphiques";"ILE-DE-FRANCE";"ensemble";60;46;44;1;51;47;52
"0750688R";"Lycée général et technologique Rabelais";"ILE-DE-FRANCE";"ensemble";44;49;51;-2;44;60;57
"0750690T";"Lycée général et technologique François Villon";"ILE-DE-FRANCE";"ensemble";31;57;57;0;66;71;71
"0750691U";"Lycée polyvalent Raspail - Lycée des métiers des énergies et de l'environnement";"ILE-DE-FRANCE";"ensemble";45;54;56;-2;60;68;65
"0750691U";"Lycée polyvalent Raspail - Lycée des métiers des énergies et de l'environnement";"ILE-DE-FRANCE";"dont élèves en voie pro sco";48;49;49;0;56;64;61
"0750691U";"Lycée polyvalent Raspail - Lycée des métiers des énergies et de l'environnement";"ILE-DE-FRANCE";"dont apprentis";30;70;77;-8;71;80;77
"0750692V";"Lycée général et technologique Emile Dubois";"ILE-DE-FRANCE";"ensemble";40;57;58;-1;65;65;69
"0750695Y";"Lycée polyvalent Fresnel - Lycée des métiers de l'optique";"ILE-DE-FRANCE";"ensemble";53;71;59;12;73;78;78
"0750695Y";"Lycée polyvalent Fresnel - Lycée des métiers de l'optique";"ILE-DE-FRANCE";"dont élèves en voie pro sco";57;65;54;11;67;72;73
"0750695Y";"Lycée polyvalent Fresnel - Lycée des métiers de l'optique";"ILE-DE-FRANCE";"dont apprentis";27;95;83;12;100;100;100
"0750696Z";"Lycée général et technologique Roger Verlomme";"ILE-DE-FRANCE";"ensemble";48;50;55;-5;57;50;57
"0750696Z";"Lycée général et technologique Roger Verlomme";"ILE-DE-FRANCE";"dont élèves en voie pro sco";48;49;55;-6;56;49;56
"0750696Z";"Lycée général et technologique Roger Verlomme";"ILE-DE-FRANCE";"dont apprentis";;;;;;;
"0750697A";"Lycée Technologique Bâtiment-Saint Lambert";"ILE-DE-FRANCE";"ensemble";44;59;64;-5;63;70;72
"0750697A";"Lycée Technologique Bâtiment-Saint Lambert";"ILE-DE-FRANCE";"dont élèves en voie pro sco";50;56;58;-2;57;64;68
"0750697A";"Lycée Technologique Bâtiment-Saint Lambert";"ILE-DE-FRANCE";"dont apprentis";23;67;79;-12;79;85;82
"0750705J";"Lycée général et technologique Honoré de Balzac";"ILE-DE-FRANCE";"ensemble";39;65;59;7;65;76;73
"0750707L";"Lycée technologique Ecole Nationale de Commerce";"ILE-DE-FRANCE";"ensemble";39;60;56;4;60;64;68
"0750707L";"Lycée technologique Ecole Nationale de Commerce";"ILE-DE-FRANCE";"dont élèves en voie pro sco";39;60;55;5;60;64;68
"0750707L";"Lycée technologique Ecole Nationale de Commerce";"ILE-DE-FRANCE";"dont apprentis";43;66;66;0;69;78;81
"0750708M";"Lycée Polyvalent Jean Drouant - Lycée des métiers de l'hôtellerie et de la restauration";"ILE-DE-FRANCE";"ensemble";46;55;52;3;61;61;70
"0750710P";"Lycée technologique Auguste Renoir - Lycée des métiers de la photographie et de l'image";"ILE-DE-FRANCE";"ensemble";55;;;;;;
"0750712S";"Lycée polyvalent Diderot";"ILE-DE-FRANCE";"ensemble";53;44;49;-5;51;54;56
"0750713T";"Lycée général et technologique Jacquard";"ILE-DE-FRANCE";"ensemble";37;55;58;-3;60;59;60
"0750713T";"Lycée général et technologique Jacquard";"ILE-DE-FRANCE";"dont élèves en voie pro sco";39;54;55;-1;60;62;66
"0750713T";"Lycée général et technologique Jacquard";"ILE-DE-FRANCE";"dont apprentis";20;61;73;-12;61;43;25
"0750715V";"Lycée général et technologique Maurice Ravel";"ILE-DE-FRANCE";"ensemble";45;62;61;1;65;71;70
"0750770E";"Lycée professionnel Abbé Grégoire";"ILE-DE-FRANCE";"ensemble";50;32;33;-2;28;33;41
"0750775K";"Lycée professionnel Gustave Ferrié";"ILE-DE-FRANCE";"ensemble";52;27;34;-7;30;32;33
"0750776L";"Lycée professionnel Marie Laurencin - Lycée des métiers de la mode";"ILE-DE-FRANCE";"ensemble";51;36;28;9;35;43;39
"0750778N";"Lycée Professionnel Turquetil - Lycée des métiers de la mode";"ILE-DE-FRANCE";"ensemble";46;39;36;3;35;43;39
"0750783U";"Lycée professionnel Chennevière Malezieux";"ILE-DE-FRANCE";"ensemble";57;46;48;-2;53;53;57
"0750783U";"Lycée professionnel Chennevière Malezieux";"ILE-DE-FRANCE";"dont élèves en voie pro sco";59;47;44;2;54;52;54
"0750783U";"Lycée professionnel Chennevière Malezieux";"ILE-DE-FRANCE";"dont apprentis";41;;;;;;
"0750784V";"Lycée professionnel Métiers de l'Ameublement";"ILE-DE-FRANCE";"ensemble";73;45;37;9;32;59;64
"0750785W";"Lycée professionnel Galilée";"ILE-DE-FRANCE";"ensemble";57;44;39;5;39;49;54
"0750785W";"Lycée professionnel Galilée";"ILE-DE-FRANCE";"dont élèves en voie pro sco";58;43;39;5;38;48;54
"0750785W";"Lycée professionnel Galilée";"ILE-DE-FRANCE";"dont apprentis";;;;;;;
"0750787Y";"Lycée professionnel Corvisart-Arts Graphiques";"ILE-DE-FRANCE";"ensemble";67;28;36;-8;27;30;30
"0750788Z";"Lycée professionnel Marcel Deprez - Lycée des métiers de l'électrotechnique";"ILE-DE-FRANCE";"ensemble";64;36;36;0;44;39;37
"0750793E";"Lycée Professionnel Beaugrenelle - Lycée des métiers de la communication et de la gestion d'entreprise";"ILE-DE-FRANCE";"ensemble";40;42;47;-6;31;50;49
"0750793E";"Lycée Professionnel Beaugrenelle - Lycée des métiers de la communication et de la gestion d'entreprise";"ILE-DE-FRANCE";"dont élèves en voie pro sco";52;42;35;7;33;41;42
"0750793E";"Lycée Professionnel Beaugrenelle - Lycée des métiers de la communication et de la gestion d'entreprise";"ILE-DE-FRANCE";"dont apprentis";0;42;54;-12;28;64;60
"0750794F";"Lycée professionnel Brassai - Lycée des métiers de la photographie et de l'image";"ILE-DE-FRANCE";"ensemble";48;;;;;;
"0750796H";"Lycée Professionnel Octave Feuilet - Lycée des métiers de la mode";"ILE-DE-FRANCE";"ensemble";70;45;33;12;45;45;48
"0750796H";"Lycée Professionnel Octave Feuilet - Lycée des métiers de la mode";"ILE-DE-FRANCE";"dont élèves en voie pro sco";71;41;29;12;41;41;45
"0750796H";"Lycée Professionnel Octave Feuilet - Lycée des métiers de la mode";"ILE-DE-FRANCE";"dont apprentis";;;;;;;
"0750800M";"Lycée professionnel Edmond Rostand";"ILE-DE-FRANCE";"ensemble";52;30;28;2;24;24;22
"0750800M";"Lycée professionnel Edmond Rostand";"ILE-DE-FRANCE";"dont élèves en voie pro sco";57;36;28;9;27;27;25
"0750800M";"Lycée professionnel Edmond Rostand";"ILE-DE-FRANCE";"dont apprentis";;;;;;;
"0750802P";"Lycée professionnel Hector Guimard - Lycée des métiers du batiment, de l'artisanat et du patrimoine bâti";"ILE-DE-FRANCE";"ensemble";62;41;41;0;42;46;48
"0750802P";"Lycée professionnel Hector Guimard - Lycée des métiers du batiment, de l'artisanat et du patrimoine bâti";"ILE-DE-FRANCE";"dont élèves en voie pro sco";65;38;39;-1;39;45;46
"0750802P";"Lycée professionnel Hector Guimard - Lycée des métiers du batiment, de l'artisanat et du patrimoine bâti";"ILE-DE-FRANCE";"dont apprentis";;;;;;;
"0750808W";"Lycée professionnel Etienne Dolet";"ILE-DE-FRANCE";"ensemble";50;38;31;7;41;48;49
"0750828T";"Etablissement régional d'enseignement adapté Edith Piaf";"ILE-DE-FRANCE";"ensemble";83;;;;;;
"0751708Z";"Lycée polyvalent Louis Armand";"ILE-DE-FRANCE";"ensemble";43;45;47;-2;48;54;54
"0751710B";"Lycée Professionnel N.L Vauquelin - Lycée des métiers des procédés chimiques, des biotechnologies et de l'eau";"ILE-DE-FRANCE";"ensemble";58;40;45;-5;40;53;54
"0751710B";"Lycée Professionnel N.L Vauquelin - Lycée des métiers des procédés chimiques, des biotechnologies et de l'eau";"ILE-DE-FRANCE";"dont élèves en voie pro sco";64;40;41;-1;39;52;50
"0751710B";"Lycée Professionnel N.L Vauquelin - Lycée des métiers des procédés chimiques, des biotechnologies et de l'eau";"ILE-DE-FRANCE";"dont apprentis";41;40;52;-12;42;53;60
"0751883P";"Lycée technologique privé Institut clorivière";"ILE-DE-FRANCE";"ensemble";45;53;50;3;60;51;58
"0752109K";"Lycée professionnel Suzanne Valadon";"ILE-DE-FRANCE";"ensemble";48;24;34;-10;32;40;39
"0752388N";"Lycée professionnel Pierre Lescot";"ILE-DE-FRANCE";"ensemble";40;35;37;-2;38;43;49
"0752388N";"Lycée professionnel Pierre Lescot";"ILE-DE-FRANCE";"dont élèves en voie pro sco";43;35;37;-2;36;42;49
"0752388N";"Lycée professionnel Pierre Lescot";"ILE-DE-FRANCE";"dont apprentis";;;;;;;
"0752608C";"Lycée professionnel Belliard - Lycée des métiers de l'hôtellerie et de la restauration";"ILE-DE-FRANCE";"ensemble";50;42;38;4;53;59;58
"0752700C";"Lycée professionnel Armand Carrel";"ILE-DE-FRANCE";"ensemble";56;29;30;-1;22;38;30
"0752701D";"Lycée polyvalent François Truffaut";"ILE-DE-FRANCE";"ensemble";48;34;35;0;30;45;41
"0752799K";"Etablissement régional d'enseignement adapté Crocé Spinelli";"ILE-DE-FRANCE";"ensemble";52;28;21;7;30;29;32
"0752845K";"Lycée professionnel Théophile Gautier";"ILE-DE-FRANCE";"ensemble";43;36;35;1;39;48;47
"0752845K";"Lycée professionnel Théophile Gautier";"ILE-DE-FRANCE";"dont élèves en voie pro sco";44;37;35;2;39;48;47
"0752845K";"Lycée professionnel Théophile Gautier";"ILE-DE-FRANCE";"dont apprentis";;;;;;;
"0752846L";"Lycée Professionnel Erik Satie";"ILE-DE-FRANCE";"ensemble";47;48;42;6;43;47;45
"0752846L";"Lycée Professionnel Erik Satie";"ILE-DE-FRANCE";"dont élèves en voie pro sco";50;43;35;7;38;39;39
"0752846L";"Lycée Professionnel Erik Satie";"ILE-DE-FRANCE";"dont apprentis";27;;;;;;
"0752961L";"Lycée professionnel Gustave Eiffel";"ILE-DE-FRANCE";"ensemble";53;50;38;12;53;55;55
"0753217P";"Lycée polyvalent privé Sainte Thérèse";"ILE-DE-FRANCE";"ensemble";59;;;;;;
"0753256G";"Etablissement régional d'enseignement adapté Alexandre Dumas";"ILE-DE-FRANCE";"ensemble";51;34;26;8;26;34;38
"0753268V";"Lycée polyvalent Jean Lurçat";"ILE-DE-FRANCE";"ensemble";41;56;56;1;56;55;56
"0753268V";"Lycée polyvalent Jean Lurçat";"ILE-DE-FRANCE";"dont élèves en voie pro sco";41;55;55;0;55;55;56
"0753268V";"Lycée polyvalent Jean Lurçat";"ILE-DE-FRANCE";"dont apprentis";43;70;64;6;65;63;56
"0753350J";"Lycée professionnel Maria Deraismes";"ILE-DE-FRANCE";"ensemble";35;36;37;-2;37;46;46
"0753350J";"Lycée professionnel Maria Deraismes";"ILE-DE-FRANCE";"dont élèves en voie pro sco";48;32;34;-2;28;39;40
"0753350J";"Lycée professionnel Maria Deraismes";"ILE-DE-FRANCE";"dont apprentis";4;41;42;-1;48;54;54
"0753537M";"Ecole Supérieure Technique de Biologie Appliquée";"ILE-DE-FRANCE";"ensemble";29;37;49;-12;46;45;45
"0753844W";"Lycée général et technologique privé Sainte Geneviève";"ILE-DE-FRANCE";"ensemble";44;50;55;-5;45;59;50
"0753890W";"Lycée général et technologique privé Charles Péguy";"ILE-DE-FRANCE";"ensemble";64;;;;;;
"0754015G";"Lycée polyvalent privé Jules Richard Microtechniques";"ILE-DE-FRANCE";"ensemble";49;55;54;0;55;52;48
"0754016H";"Lycée polyvalent privé L'Initiative";"ILE-DE-FRANCE";"ensemble";36;46;41;5;42;37;43
"0754025T";"Lycée polyvalent privé Saint-Nicolas";"ILE-DE-FRANCE";"ensemble";58;35;41;-6;38;43;46
"0754029X";"Lycée polyvalent privé Carcado Saisseval - Lycée des métiers du management du commerce, des services et soins à la personne";"ILE-DE-FRANCE";"ensemble";45;43;49;-7;45;51;53
"0754030Y";"Lycée polyvalent privé Albert de Mun";"ILE-DE-FRANCE";"ensemble";48;47;49;-2;49;55;58
"0754037F";"Lycée technologique privé Fenelon Sup La Plaine Monceau";"ILE-DE-FRANCE";"ensemble";56;55;42;12;55;62;62
"0754042L";"Lycée polyvalent privé Le Rebours - Lycée des métiers du management et des services";"ILE-DE-FRANCE";"ensemble";37;47;52;-5;52;48;56
"0754045P";"Lycée polyvalent privé Catherine Labouré";"ILE-DE-FRANCE";"ensemble";56;39;40;-1;33;41;39
"0754086J";"Lycée général et technologique privé Charles de Foucauld";"ILE-DE-FRANCE";"ensemble";42;59;56;3;70;65;72
"0754165V";"Lycée professionnel privé Coiffure Marcel Lamy";"ILE-DE-FRANCE";"ensemble";25;67;55;12;76;57;52
"0754239A";"Lycée polyvalent privé Saint Jean de Montmartre - Lycée des métiers privé de la vente et du commerce";"ILE-DE-FRANCE";"ensemble";63;28;34;-6;27;36;49
"0754475G";"Lycée polyvalent Léonard de Vinci - Lycée des métiers du bois";"ILE-DE-FRANCE";"ensemble";43;43;50;-7;48;55;57
"0754475G";"Lycée polyvalent Léonard de Vinci - Lycée des métiers du bois";"ILE-DE-FRANCE";"dont élèves en voie pro sco";48;39;45;-7;42;51;52
"0754475G";"Lycée polyvalent Léonard de Vinci - Lycée des métiers du bois";"ILE-DE-FRANCE";"dont apprentis";3;62;70;-8;72;69;79
"0754476H";"Lycée polyvalent Guillaume Tirel - Lycée des métiers de l' hotellerie";"ILE-DE-FRANCE";"ensemble";58;53;49;4;51;52;65
"0754530S";"Lycée polyvalent Martin Nadaud";"ILE-DE-FRANCE";"ensemble";44;48;46;1;47;48;50
"0754530S";"Lycée polyvalent Martin Nadaud";"ILE-DE-FRANCE";"dont élèves en voie pro sco";46;48;45;3;49;48;49
"0754530S";"Lycée polyvalent Martin Nadaud";"ILE-DE-FRANCE";"dont apprentis";;;;;;;
"0754666P";"Lycée général et technologique privé Passy-Saint Honoré";"ILE-DE-FRANCE";"ensemble";32;39;51;-12;49;45;48
"0754924V";"Lycée Polyvalent Privé Notre-Dame - Saint Vincent de Paul - Lycée des Métiers de la Santé et du social";"ILE-DE-FRANCE";"ensemble";52;40;38;2;41;43;45
"0760005T";"Lycée général et technologique Thomas Corneille";"NORMANDIE";"ensemble";24;58;61;-3;70;68;74
"0760007V";"Lycée professionnel Auguste Bartholdi";"NORMANDIE";"ensemble";41;30;31;-1;32;45;43
"0760013B";"Lycée professionnel Pierre et Marie Curie";"NORMANDIE";"ensemble";43;24;30;-6;32;33;45
"0760022L";"Lycée professionnel Bernard Palissy - Lycée des métiers de l'acier, de l'aluminium et des services";"NORMANDIE";"ensemble";49;34;33;1;42;38;38
"0760023M";"Lycée général et technologique Jehan Ango";"NORMANDIE";"ensemble";27;66;59;7;75;77;72
"0760024N";"Lycée professionnel Emulation Dieppoise";"NORMANDIE";"ensemble";45;50;48;2;58;56;64
"0760024N";"Lycée professionnel Emulation Dieppoise";"NORMANDIE";"dont élèves en voie pro sco";44;44;39;5;53;51;61
"0760024N";"Lycée professionnel Emulation Dieppoise";"NORMANDIE";"dont apprentis";45;64;66;-2;68;67;71
"0760029U";"Lycée général et technologique André Maurois";"NORMANDIE";"ensemble";37;69;58;11;64;78;78
"0760030V";"Lycée polyvalent Ferdinand Buisson - Lycée des métiers de la chimie et de l'automatisme";"NORMANDIE";"ensemble";49;43;37;6;46;51;46
"0760032X";"Lycée polyvalent Anguier - Lycée des métiers de la mise en forme des matériaux industriels et de l'éco-innovation";"NORMANDIE";"ensemble";40;48;53;-5;51;56;63
"0760035A";"Lycée général et technologique Guy de Maupassant";"NORMANDIE";"ensemble";27;61;57;4;70;72;76
"0760036B";"Lycée professionnel Descartes";"NORMANDIE";"ensemble";52;26;30;-4;32;39;47
"0760054W";"Lycée polyvalent Porte Océane";"NORMANDIE";"ensemble";55;43;47;-4;45;53;50
"0760056Y";"Lycée technologique Jules Siegfried";"NORMANDIE";"ensemble";28;56;55;1;56;55;56
"0760058A";"Lycée polyvalent Schuman-Perret- Lycée des métiers de l'habitat, des sciences et de l'industrie";"NORMANDIE";"ensemble";38;63;53;10;69;66;62
"0760062E";"Lycée professionnel Jules Le Cesne - Lycée des métiers de l'hôtellerie, de la restauration et des services";"NORMANDIE";"ensemble";39;47;42;4;50;50;57
"0760062E";"Lycée professionnel Jules Le Cesne - Lycée des métiers de l'hôtellerie, de la restauration et des services";"NORMANDIE";"dont élèves en voie pro sco";46;39;33;6;40;45;52
"0760062E";"Lycée professionnel Jules Le Cesne - Lycée des métiers de l'hôtellerie, de la restauration et des services";"NORMANDIE";"dont apprentis";30;54;52;3;60;56;62
"0760072R";"Lycée général et technologique Guillaume Le Conquérant";"NORMANDIE";"ensemble";34;55;57;-2;52;69;79
"0760076V";"Lycée général et technologique Jean Prévost";"NORMANDIE";"ensemble";44;56;57;-1;62;53;62
"0760082B";"Lycée professionnel Jean Rostand - Lycée des métiers  de la maintenance et  de l'hortipaysage";"NORMANDIE";"ensemble";43;30;31;-1;34;40;44
"0760087G";"Lycée professionnel Colbert - Lycée des métiers de la plasturgie et de la fonderie";"NORMANDIE";"ensemble";46;35;36;-1;41;44;50
"0760088H";"Lycée professionnel Elisa Lemonnier";"NORMANDIE";"ensemble";59;44;38;6;50;50;51
"0760090K";"Lycée général Pierre Corneille";"NORMANDIE";"ensemble";33;39;42;-3;34;32;42
"0760091L";"Lycée général et technologique Jeanne d'Arc";"NORMANDIE";"ensemble";47;48;54;-5;52;54;57
"0760093N";"Lycée général Camille Saint-Saëns";"NORMANDIE";"ensemble";32;36;48;-12;44;47;60
"0760095R";"Lycée polyvalent Blaise Pascal";"NORMANDIE";"ensemble";54;50;54;-4;59;57;62
"0760096S";"Lycée général et technologique Gustave Flaubert";"NORMANDIE";"ensemble";34;63;58;5;65;67;71
"0760096S";"Lycée général et technologique Gustave Flaubert";"NORMANDIE";"dont élèves en voie pro sco";36;62;57;5;65;65;70
"0760096S";"Lycée général et technologique Gustave Flaubert";"NORMANDIE";"dont apprentis";10;78;73;4;70;89;81
"0760109F";"Lycée général et technologique les Bruyères";"NORMANDIE";"ensemble";29;57;57;1;57;57;55
"0760110G";"Lycée général et technologique Marcel Sembat";"NORMANDIE";"ensemble";32;62;58;5;60;61;61
"0760110G";"Lycée général et technologique Marcel Sembat";"NORMANDIE";"dont élèves en voie pro sco";31;61;55;6;59;57;59
"0760110G";"Lycée général et technologique Marcel Sembat";"NORMANDIE";"dont apprentis";;;;;;;
"0760114L";"Lycée professionnel le Hurle-Vent";"NORMANDIE";"ensemble";33;28;40;-12;48;38;56
"0760114L";"Lycée professionnel le Hurle-Vent";"NORMANDIE";"dont élèves en voie pro sco";42;20;32;-12;45;34;53
"0760114L";"Lycée professionnel le Hurle-Vent";"NORMANDIE";"dont apprentis";16;40;51;-12;51;44;60
"0760132F";"Lycée professionnel Jules Siegfried - Lycée des métiers des sciences du numérique et de l'innovation technologique";"NORMANDIE";"ensemble";58;31;32;-1;44;46;50
"0760142S";"Lycée professionnel Gustave Flaubert";"NORMANDIE";"ensemble";62;33;36;-3;31;35;44
"0760144U";"Section d'enseignement professionnel Schuman-Perret";"NORMANDIE";"ensemble";48;45;40;6;52;51;57
"0760144U";"Section d'enseignement professionnel Schuman-Perret";"NORMANDIE";"dont élèves en voie pro sco";52;35;30;5;45;39;48
"0760144U";"Section d'enseignement professionnel Schuman-Perret";"NORMANDIE";"dont apprentis";28;75;67;8;74;82;82
"0760145V";"Lycée professionnel Val de Seine";"NORMANDIE";"ensemble";55;19;29;-11;27;36;40
"0760146W";"Lycée professionnel Marcel Sembat - Lycée des métiers  des propulsions et systèmes embarqués";"NORMANDIE";"ensemble";48;37;40;-3;46;49;45
"0760174B";"Lycée général et technologique Claude Monet";"NORMANDIE";"ensemble";25;45;50;-5;42;50;58
"0761322Z";"Lycée professionnel Claude Monet";"NORMANDIE";"ensemble";57;11;23;-12;46;31;37
"0761341V";"Lycée polyvalent privé les Tourelles - Lycée des métiers de la gestion et du management";"NORMANDIE";"ensemble";21;46;56;-10;52;57;61
"0761343X";"Lycée polyvalent privé la Châtaigneraie";"NORMANDIE";"ensemble";44;53;50;3;57;63;58
"0761347B";"Lycée professionnel privé Notre-Dame";"NORMANDIE";"ensemble";59;51;40;11;57;53;53
"0761349D";"Section d'enseignement professionnel Saint Vincent de Paul";"NORMANDIE";"ensemble";36;;;;;;
"0761353H";"Lycée professionnel privé de la Coiffure Albert Pourrière";"NORMANDIE";"ensemble";42;55;46;10;60;57;64
"0761356L";"Lycée polyvalent privé Providence Sainte Thérèse - Lycée des métiers des services aux personnes et aux entreprises";"NORMANDIE";"ensemble";38;42;41;1;50;49;55
"0761710W";"Lycée général et technologique privé Saint Joseph";"NORMANDIE";"ensemble";25;47;51;-5;49;53;62
"0761719F";"Lycée général et technologique privé Sacré-Coeur";"NORMANDIE";"ensemble";13;89;77;12;87;89;87
