"n°UAI de l'établissement";"Libellé de l'établissement";"Région";;;"Taux";"Taux attendu";"Valeur ajoutée";;;
"0050007F";"Lycée général et technologique Aristide Briand";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";24;;;;;;
"0050008G";"Lycée professionnel Paul Héraud";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";41;52;45;7;61;62;63
"0050009H";"Lycée professionnel Sévigné - Lycée des métiers de la restauration, des services aux entreprises et aux personnes";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";48;33;34;-1;39;35;51
"0050027C";"Lycée professionnel Pierre Mendès France";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";60;39;34;6;45;45;45
"0050039R";"Lycée professionnel privé Pierre et Louis Poutrain";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";66;31;41;-10;57;51;51
"0060001U";"Lycée général et technologique Jacques Audiberti";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";32;57;57;0;63;62;63
"0060001U";"Lycée général et technologique Jacques Audiberti";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";32;55;57;-2;61;61;62
"0060001U";"Lycée général et technologique Jacques Audiberti";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";;;;;;;
"0060002V";"Lycée professionnel Jacques Dolle";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";42;42;36;6;54;49;58
"0060009C";"Lycée général et technologique Auguste Renoir";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";21;64;55;9;76;56;68
"0060011E";"Lycée général Carnot";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";53;49;38;11;65;62;59
"0060013G";"Lycée général et technologique Bristol";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";43;48;58;-10;67;41;50
"0060014H";"Lycée général et technologique Jules Ferry";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";52;55;52;3;61;62;62
"0060015J";"Lycée professionnel Les Coteaux - Lycée des métiers de la relation client, de la mode et du costume de spectacle";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";47;35;35;0;53;39;54
"0060020P";"Lycée général et technologique Amiral de Grasse";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";33;54;54;0;61;59;66
"0060022S";"Lycée professionnel Léon Chiris";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";37;44;40;4;54;45;56
"0060022S";"Lycée professionnel Léon Chiris";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";39;44;38;6;54;44;56
"0060022S";"Lycée professionnel Léon Chiris";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";;;;;;;
"0060023T";"Lycée professionnel Francis de Croisset";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";38;40;35;5;51;46;52
"0060026W";"Lycée général et technologique Pierre et Marie Curie";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";25;;;;;;
"0060027X";"Lycée professionnel Pierre et Marie Curie - Lycée des métiers de l'enseigne, de la signalétique et du développement durable";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";37;22;34;-12;26;21;31
"0060028Y";"Lycée professionnel Paul Valéry - Lycée des métiers de la restauration";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";35;27;38;-12;33;28;39
"0060028Y";"Lycée professionnel Paul Valéry - Lycée des métiers de la restauration";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";35;27;38;-12;33;29;40
"0060028Y";"Lycée professionnel Paul Valéry - Lycée des métiers de la restauration";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";;;;;;;
"0060029Z";"Lycée général et technologique Parc Imperial";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";42;52;54;-2;55;55;62
"0060029Z";"Lycée général et technologique Parc Imperial";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";42;52;53;-1;55;54;61
"0060029Z";"Lycée général et technologique Parc Imperial";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";;;;;;;
"0060031B";"Lycée général et technologique Albert Calmette";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";30;50;55;-5;53;58;66
"0060033D";"Lycée polyvalent Honoré d'Estienne d'Orves - Lycée des métiers de la comptabilité";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";44;50;50;0;52;56;57
"0060033D";"Lycée polyvalent Honoré d'Estienne d'Orves - Lycée des métiers de la comptabilité";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";47;48;49;0;52;57;57
"0060033D";"Lycée polyvalent Honoré d'Estienne d'Orves - Lycée des métiers de la comptabilité";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";26;58;56;3;53;53;55
"0060034E";"Lycée polyvalent hôtelier Tourisme Paul Augier - Lycée des métiers de l'hôtellerie et du tourisme";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";30;51;51;1;62;52;64
"0060034E";"Lycée polyvalent hôtelier Tourisme Paul Augier - Lycée des métiers de l'hôtellerie et du tourisme";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";34;50;50;0;61;50;64
"0060034E";"Lycée polyvalent hôtelier Tourisme Paul Augier - Lycée des métiers de l'hôtellerie et du tourisme";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";12;55;53;2;62;56;64
"0060038J";"Lycée professionnel Vauban";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";35;34;40;-6;43;38;42
"0060038J";"Lycée professionnel Vauban";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";40;29;34;-6;40;37;41
"0060038J";"Lycée professionnel Vauban";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";23;46;54;-8;48;39;46
"0060040L";"Lycée professionnel Pasteur";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";51;27;31;-4;36;35;33
"0060042N";"Lycée professionnel Les Palmiers";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";37;34;33;0;38;41;43
"0060042N";"Lycée professionnel Les Palmiers";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";37;34;33;1;38;41;43
"0060042N";"Lycée professionnel Les Palmiers";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";;;;;;;
"0060043P";"Lycée professionnel Magnan - Lycée des métiers des soins et services à la personne";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";41;34;34;0;43;45;48
"0060075Z";"Lycée général et technologique Les Eucalyptus";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";45;52;52;-1;61;64;67
"0060082G";"Lycée professionnel Les Eucalyptus                 Lycée des sciences appliquées aux métiers de l'Industrie";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";54;43;41;2;55;55;57
"0060670W";"Lycée général et technologique privé Sainte Marie";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";24;25;37;-12;49;41;54
"0060673Z";"Lycée général et technologique privé Stanislas";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";12;18;30;-12;60;28;60
"0060674A";"Lycée général et technologique privé Fénélon";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";8;52;55;-2;74;52;70
"0060677D";"Lycée général et technologique privé Sasserno";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";36;32;44;-12;50;48;52
"0060715V";"Lycée professionnel privé La Providence";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";30;29;27;3;33;33;44
"0060750H";"Lycée polyvalent privé Institution Saint Joseph Carnolés";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";44;28;33;-5;24;28;40
"0060774J";"Lycée polyvalent privé Saint Joseph";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";28;42;53;-11;47;53;55
"0060776L";"Lycée professionnel privé Saint Vincent de Paul - Lycée des métiers du tertiaire";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";47;41;42;-1;43;37;47
"0061394H";"Lycée professionnel privé Les Fauvettes";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";40;32;35;-3;46;50;56
"0061462G";"Lycée professionnel privé Don Bosco - Lycée des métiers de la maintenance industrielle et industrie graphique";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";57;43;40;3;47;37;44
"0061478Z";"Lycée polyvalent Léonard de Vinci - Lycée des métiers du bâtiment et travaux publics";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";51;50;50;0;59;58;68
"0061561P";"Lycée professionnel Alfred Hutinel - lycée des métiers des énergies électriques";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";35;42;39;3;43;46;52
"0061635V";"Lycée professionnel Auguste Escoffier";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";35;37;35;2;46;46;53
"0061691F";"Lycée général et technologique Thierry Maulnier - Lycée des métiers de la chimie";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";58;45;54;-8;45;59;68
"0061760F";"Lycée général et technologique Alexis de Tocqueville";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";50;62;51;12;75;50;67
"0061763J";"Lycée général et technologique Guillaume Apollinaire";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";29;48;50;-2;54;48;54
"0061987C";"Lycée polyvalent de la Montagne";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";60;32;38;-6;47;53;53
"0062089N";"Lycée Général et Technologique René Goscinny";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";50;30;39;-9;45;50;60
"0070001N";"Lycée polyvalent public Boissy d'Anglas - Lycée des métiers de la création industrielle";"AUVERGNE-RHONE-ALPES";"ensemble";45;65;55;10;68;69;69
