n°UAI de l'établissement;Libellé de l'établissement;Région;Dont apprentis en EPLE;Taux de poursuite d'études;Taux;Taux attendu;Valeur ajoutée;Part en poursuite d'études;Part en emploi 6 mois après la sortie;Part des autres situations
0600004D;Lycée professionnel Les Jacobins;HAUTS-DE-FRANCE;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0600004D;Lycée professionnel Les Jacobins;HAUTS-DE-FRANCE;ensemble;57;28;35;-7;57;12;31
0600004D;Lycée professionnel Les Jacobins;HAUTS-DE-FRANCE;dont élèves en voie pro sco;58;27;34;-7;58;11;31
0600009J;Lycée général et technologique Jean Rostand;HAUTS-DE-FRANCE;ensemble;61;58;49;9;61;22;17
0600013N;Lycée général et technologique Cassini;HAUTS-DE-FRANCE;dont apprentis;65;nd;nd;nd;65;26;9
0600013N;Lycée général et technologique Cassini;HAUTS-DE-FRANCE;ensemble;57;74;62;12;57;32;11
0600013N;Lycée général et technologique Cassini;HAUTS-DE-FRANCE;dont élèves en voie pro sco;53;74;62;12;53;35;12
0600015R;Lycée d'enseignement général et technologique Mireille Grenet;HAUTS-DE-FRANCE;ensemble;42;43;54;-11;42;25;33
0600016S;Lycée professionnel Mireille Grenet industriel - Lycée des métiers de l'innovation et des services;HAUTS-DE-FRANCE;ensemble;58;33;37;-4;58;14;28
0600017T;Lycée professionnel mixte Mireille Grenet;HAUTS-DE-FRANCE;ensemble;57;34;34;0;57;14;29
0600020W;Lycée d'enseignement général et technologique Marie Curie;HAUTS-DE-FRANCE;ensemble;49;58;59;-2;49;29;22
0600021X;Lycée général et technologique Jules Uhry;HAUTS-DE-FRANCE;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0600021X;Lycée général et technologique Jules Uhry;HAUTS-DE-FRANCE;ensemble;36;53;55;-2;36;34;30
0600021X;Lycée général et technologique Jules Uhry;HAUTS-DE-FRANCE;dont élèves en voie pro sco;36;53;55;-2;36;34;30
0600040T;Lycée d'enseignement général et technologique Jean Calvin;HAUTS-DE-FRANCE;dont apprentis;53;87;76;11;53;41;6
0600040T;Lycée d'enseignement général et technologique Jean Calvin;HAUTS-DE-FRANCE;ensemble;52;70;69;1;52;33;15
